"","codigoBarrioComunaUnificado","Poblacion2005","Migrantes2005","shiftShareMigrantes","shiftShareResto"
"1",101,22710,6,0.000992555831265509,0.00732186916397443
"2",102,7594,3,0.000496277915632754,0.00286093049250944
"3",103,21546,6,0.000992555831265509,0.00847373873689663
"4",104,11599,2,0.00033085194375517,0.00374528006106953
"5",105,17287,16,0.00264681555004136,0.00593485461906515
"6",106,10193,7,0.00115798180314309,0.0042036423615371
"7",107,10900,1,0.000165425971877585,0.00352547063073379
"8",109,1254,0,0,0.000586158480895323
"9",110,2712,0,0,0.000853678485257433
"10",111,5082,3,0.000496277915632754,0.0018538965907387
"11",112,8733,4,0.000661703887510339,0.00383729331097752
"12",201,14223,0,0,0.00728438228438228
"13",202,11110,4,0.000661703887510339,0.00572867678130836
"14",203,5039,0,0,0.00234122602543655
"15",204,4899,3,0.000496277915632754,0.0024468708679235
"16",205,13181,3,0.000496277915632754,0.00516637358742622
"17",206,9245,5,0.000827129859387924,0.00370268133426028
"18",207,14440,8,0.00132340777502068,0.00623134175765755
"19",208,6146,2,0.00033085194375517,0.00267349609454873
"20",209,9036,7,0.00115798180314309,0.00350502324186535
"21",210,12070,5,0.000827129859387924,0.00599278888752573
"22",211,6674,10,0.00165425971877585,0.00298020692757535
"23",301,21637,8,0.00132340777502068,0.00967843073106231
"24",302,31617,20,0.0033085194375517,0.0159063645905751
"25",303,16998,16,0.00264681555004136,0.00541515015199226
"26",304,13432,6,0.000992555831265509,0.00369075369075369
"27",305,8448,5,0.000827129859387924,0.00324091113564798
"28",306,3353,6,0.000992555831265509,0.00125410651726441
"29",307,5269,5,0.000827129859387924,0.00172780435938331
"30",308,13833,8,0.00132340777502068,0.00531632110579479
"31",309,16306,10,0.00165425971877585,0.00751100751100751
"32",310,3070,0,0,0.00164942270205428
"33",311,7276,2,0.00033085194375517,0.0048306956201693
"34",313,3869,0,0,0.00170906091958724
"35",314,4149,1,0.000165425971877585,0.0019561335350809
"36",401,12148,24,0.00397022332506203,0.00430758325495168
"37",402,17942,20,0.0033085194375517,0.00673911858122384
"38",403,6880,2,0.00033085194375517,0.00369416158889843
"39",404,5297,6,0.000992555831265509,0.00259681838629207
"40",405,37810,13,0.0021505376344086,0.0204882836461784
"41",407,3325,9,0.00148883374689826,0.00211119290066658
"42",409,10244,29,0.00479735318444996,0.00594167041535463
"43",410,14452,26,0.0043010752688172,0.0082931201352254
"44",411,4781,7,0.00115798180314309,0.00285070679807522
"45",412,8663,19,0.00314309346567411,0.00431099115309642
"46",413,10608,16,0.00264681555004136,0.00527883422620265
"47",414,12663,15,0.00248138957816377,0.00657383552120394
"48",415,7137,12,0.00198511166253102,0.0038100301258196
"49",501,9734,18,0.00297766749379653,0.0042547608337082
"50",502,9275,17,0.00281224152191894,0.00429565561144509
"51",503,15799,39,0.00645161290322581,0.00678001335896073
"52",504,16568,37,0.00612076095947064,0.00647159857686173
"53",505,6779,8,0.00132340777502068,0.00360896413527992
"54",507,5634,6,0.000992555831265509,0.00245879851143009
"55",508,5413,5,0.000827129859387924,0.00210778500252184
"56",509,11459,24,0.00397022332506203,0.00564177537861748
"57",510,5234,23,0.00380479735318445,0.00221683774315353
"58",511,19165,17,0.00281224152191894,0.00655168418326313
"59",513,13357,15,0.00248138957816377,0.00506754454122875
"60",514,12133,20,0.0033085194375517,0.00386285254706307
"61",519,4531,8,0.00132340777502068,0.00224750882645619
"62",601,21698,26,0.0043010752688172,0.00724178355757303
"63",602,22902,7,0.00115798180314309,0.00714295451137556
"64",603,18872,18,0.00297766749379653,0.0062228220122957
"65",604,28046,23,0.00380479735318445,0.00802048828364618
"66",605,18888,22,0.00363937138130687,0.00628927602611813
"67",606,14671,9,0.00148883374689826,0.00565029512397933
"68",607,28272,17,0.00281224152191894,0.00929845008792377
"69",608,15777,10,0.00165425971877585,0.00544411728622255
"70",609,6162,2,0.00033085194375517,0.00152162652162652
"71",610,3523,0,0,0.000480513638408375
"72",611,5993,1,0.000165425971877585,0.00186923213239003
"73",703,1983,6,0.000992555831265509,0.0011348300821985
"74",706,1743,12,0.00198511166253102,0.000841750841750842
"75",707,2731,6,0.000992555831265509,0.00140916588285009
"76",708,1522,5,0.000827129859387924,0.000933764091658829
"77",709,7894,15,0.00248138957816377,0.00279788437683175
"78",710,6239,17,0.00281224152191894,0.00234804182172603
"79",711,15102,12,0.00198511166253102,0.00536403167982115
"80",712,24771,37,0.00612076095947064,0.00770355375618533
"81",713,24606,58,0.00959470636889992,0.00874125874125874
"82",714,9130,18,0.00297766749379653,0.00352206273258905
"83",715,6815,19,0.00314309346567411,0.00260022628443681
"84",716,4719,16,0.00264681555004136,0.00236167341430499
"85",717,5882,5,0.000827129859387924,0.00213845608582451
"86",718,9850,11,0.00181968569065343,0.00452398478714268
"87",719,3929,4,0.000661703887510339,0.00131374473479737
"88",720,11512,24,0.00397022332506203,0.0044200438937281
"89",722,6355,2,0.00033085194375517,0.00278254883518041
"90",723,1824,3,0.000496277915632754,0.000988290461974672
"91",801,9367,30,0.00496277915632754,0.00580194659142028
"92",802,6235,25,0.00413564929693962,0.0040383593015172
"93",803,7662,19,0.00314309346567411,0.00505561689772216
"94",804,3053,8,0.00132340777502068,0.00185900843795581
"95",806,6523,4,0.000661703887510339,0.0037589116536485
"96",807,16930,18,0.00297766749379653,0.0105508526561158
"97",808,11320,17,0.00281224152191894,0.00721111247427037
"98",809,4344,8,0.00132340777502068,0.00260874602979866
"99",810,13276,12,0.00198511166253102,0.00712421107157949
"100",811,7424,2,0.00033085194375517,0.00399405662563557
"101",812,7099,1,0.000165425971877585,0.00339256260308892
