"","codigoComuna","Poblacion2005","Migrantes2005","shiftShareMigrantes","shiftShareResto"
"1",1,123754,48,0.00691842029403286,0.0401349393448259
"2",2,106063,47,0.00677428653790718,0.0432828078188694
"3",3,153691,91,0.0131161718074373,0.0597158783949708
"4",4,157214,211,0.0304122225425195,0.0721262462550955
"5",5,137379,239,0.0344479677140386,0.0507096900938068
"6",6,188969,135,0.0194580570769674,0.0540233166347429
"7",7,154697,289,0.0416546555203229,0.0536580349688129
"8",8,128691,162,0.0233496684923609,0.0639810790236236
"9",9,130057,324,0.0466993369847218,0.0725912897205442
"10",10,79246,305,0.0439607956183338,0.0542596753597564
"11",11,113127,1151,0.165897953300663,0.059213999803546
"12",12,85388,425,0.061256846353416,0.0431462108933746
"13",13,133351,200,0.0288267512251369,0.0683399022641324
"14",14,102466,1687,0.24315364658403,0.0636173321546093
"15",15,85584,368,0.0530412222542519,0.0430924930013261
"16",16,186162,1082,0.155952724127991,0.106304638770198
"17",50,0,0,0,0
"18",60,23688,35,0.00504468146439896,0.0119545331761701
"19",70,8974,12,0.00172960507350822,0.00451537252590737
"20",80,64135,86,0.0123955030268089,0.0298471956190757
"21",90,9061,41,0.00590948400115307,0.00548536417661215
