"Consecutivo","Form","Hogar","Orden","Ciudad","Zona","ComunaCorr","NomComuna","CodBarrio","NomBarrio","Estrato","NomMpio","SubRegion","Region","P_1","P_2","P_4","P_5","P_6","P_7_a","P_10","P_11","P_12","P_15","P_17","P_18","P_19","P_20","P_21","P_22","P_23","P_24","P_25_1","P_25_2","P_26","P_27","P_28_a","P_29_a","P_30","P_31_a","P_32","P_33","P_34","P_35","P_36","P_37","P_38","P_39","P_40","P_41","P_42","P_43","P_44","P_45","P_46","P_47","P_48","P_49","P_50","P_51","P_52","P_53","P_54","P_55","P_56","P_57","P_58","P_59","P_60","P_61","P_62","P_63","P_64_1","P_64_2","P_65","P_66","P_67","P_68","P_69","P_70","P_71","P_72","P_73","P_74","P_75","P_76","P_77","P_78","P_79","P_80","P_81","P_82_1_a","P_82_2_a","P_83","P_84","P_85","P_86","P_86_1","P_87","P_88","P_89","P_90","P_91","P_92","P_93","P_94","P_95","P_95_1","P_96","P_97","P_98","P_99","P_100","P_101","P_102","P_103","P_104","P_105","P_106","P_107","P_108","P_109","P_110","P_111","P_112","P_113","P_114","P_115","P_116","P_117","P_118","P_119","P_120","P_121","P_122","P_123","P_124","P_125","P_126","P_127","P_128","P_129","P_130","P_131","P_132","P_133","P_134","P_135","P_136","P_137","P_138","P_139","P_140","P_141","P_142","P_143","P_144","P_145","P_146","P_147","P_148","P_149","P_150","P_151","P_152","P_153","P_154","P_155","P_156","P_157","P_158","P_159","P_160","P_161","P_162","P_163","P_164","P_165","P_166","P_167","P_168","P_169","P_170","P_171","P_172","P_173","P_174","P_175","P_176","P_177","P_178","P_179","P_180","P_181","P_182","P_183","P_184","P_185","P_186","P_187","P_188","P_189","P_190","P_191","P_192","P_193","P_194","P_195","P_196","P_197","P_198","P_199","P_200","P_201","P_202","P_203","P_204","P_205","P_206","P_207","P_208","P_209","P_210","P_211","P_212","P_213","P_214","P_215","P_216","P_217","P_218","P_219","P_220","P_221","P_222","P_223","P_224","P_225","P_226","P_227","P_228","P_229","P_229_1E","P_229_1S","P_229_2E","P_229_2S","P_229_3E","P_229_3S","P_229_4E","P_229_4S","P_229_5E","P_229_5S","P_229_6E","P_229_6S","P_230","P_231","P_232","P_233","P_234","P_235","P_236","P_237","P_238","P_239","P_240","P_241","P_242","P_243","P_244","P_245","P_246","P_247","P_248","P_249","P_250","P_251","P_252","P_253","P_254","P_255","P_256","P_257","P_258","P_259","P_260","P_261","P_262","P_263","P_264","P_265","P_266","P_267","P_268","P_269","P_270","P_271","P_272","P_273","P_274","P_275","P_276","P_277","P_278","P_279","P_280","P_281","P_282","P_283","P_284","P_285","P_286","P_287","P_288","P_289","P_290","P_291","P_292","P_293","P_294","P_295","P_296","P_297","P_298","P_299","P_300","P_301","P_302","P_303","P_304","P_305","P_306","P_307","P_308","P_309","P_310","P_311","P_312","P_313","P_314","P_315","P_316","P_317","P_318","P_319","P_320","P_321","P_322","P_323","P_324","P_325","P_326","P_327","P_328","P_329","P_330","P_331","P_332","P_333","P_334","P_335","P_336","P_337","P_338","P_339","P_340","P_341","P_342","P_18a","FEVH","FEP","P_7","P_28","P_29","P_31","P_82_1","P_82_2"
8268,8976,1,1,5001,1,16,"BELEN",1016012,"LA GLORIA",5,"MEDELLIN","MEDELLIN","MEDELLIN",1,5,5001,1,16,1612,5,1,2,1,1,85,1931,2,2,-88,3,2,75,0,7,-88,5,5237,58,1603,2,12,-88,1,2,2,-88,-88,-88,2,-88,-88,-88,2,2,0,-88,2,2,2,2,2,2,2,2,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,1,2,6,2,2,2,2,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,4,2,-88,-88,0,0,689000,0,0,0,2,2,2,1,4,2,-88,2,-88,2,-88,2,-88,2,-88,2,-88,2,-88,5,10,4,1,1,1,0,1,1,3,0,7,1,1,2,2,1,1,2,1,1,1,1,2,2,2,-88,-88,1,1,2,-88,2,-88,-88,-88,1,10,6,4,0,5,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,8,0,0,0,0,-88,-88,-88,1,7,4,0,-88,0,-88,3,-88,2500000,0,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,2,-88,3e+06,0,0,1e+06,0,0,250000,6e+05,350000,0,0,0,2200000,0,0,0,1500000,0,0,1400000,0,0,2900000,2,-88,-88,2,4,2,-98,2,1,1,1,2,2,2,1,1,1,1,2,2,1,1,2,-88,-88,2,1,2,3,2,11,19,-88,-88,11,-88,0,0,0,0,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,2,4,4,4,4,4,4,4,5,5,4,2,-88,-88,1,2,3,1,8,3,1,3,3,1,2,1,2,-88,-88,3,40,87.4450867052023,35.6041666666667,1612,5,5237,1603,-88,-88
8268,8976,1,2,5001,1,16,"BELEN",1016012,"LA GLORIA",5,"MEDELLIN","MEDELLIN","MEDELLIN",1,5,5001,1,16,1612,5,1,2,2,2,84,1932,2,1,-88,3,2,79,0,3,-88,5,5670,58,1603,2,12,-88,1,2,2,-88,-88,-88,2,-88,-88,-88,4,4,0,-88,2,2,2,2,2,2,2,2,2,3,1,2,3,1,2,1960,11,-88,2,2,2,4,2,2,2,2,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,4,2,-88,-88,0,0,0,0,0,0,2,2,2,1,4,2,-88,2,-88,2,-88,2,-88,2,-88,2,-88,2,-88,5,10,4,1,1,1,0,1,1,3,0,7,1,1,2,2,1,1,2,1,1,1,1,2,2,2,-88,-88,1,1,2,-88,2,-88,-88,-88,1,10,6,4,0,5,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,8,0,0,0,0,-88,-88,-88,1,7,4,0,-88,0,-88,3,-88,2500000,0,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,2,-88,3e+06,0,0,1e+06,0,0,250000,6e+05,350000,0,0,0,2200000,0,0,0,1500000,0,0,1400000,0,0,2900000,2,-88,-88,2,4,2,-98,2,1,1,1,2,2,2,1,1,1,1,2,2,1,1,2,-88,-88,2,1,2,3,2,11,19,-88,-88,11,-88,0,0,0,0,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,2,4,4,4,4,4,4,4,5,5,4,2,-88,-88,1,2,3,1,8,3,1,3,3,1,2,1,2,-88,-88,3,40,87.4450867052023,38.3214285714286,1612,5,5670,1603,-88,-88
8269,665,1,1,5001,1,16,"BELEN",1016013,"ALTAVISTA",3,"MEDELLIN","MEDELLIN","MEDELLIN",2,-88,5001,1,16,1613,3,1,4,1,1,59,1957,2,2,-88,3,1,-88,-88,-88,-88,-88,-88,10,1613,2,12,-88,1,2,2,-88,-88,-88,2,-88,-88,-88,2,2,0,-88,2,2,2,2,2,2,2,2,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,1,1,1,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,60,5,5001,1,1,7,1,-88,7e+05,0,0,-88,0,0,0,60,2,-88,2,-88,-88,-88,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,2,2,2,2,-88,2,-88,2,-88,2,-88,2,-88,2,-88,2,-88,2,-88,4,10,4,1,0,0,1,1,0,3,0,5,1,1,2,2,1,1,2,1,1,1,1,2,2,1,1,2,1,1,2,-88,1,1,2,2,1,10,6,2,0,4,3,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,4,0,0,0,11,0,0,0,0,-88,-88,-88,1,6,4,1,1,0,-88,3,-88,6e+05,0,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,2,-88,7e+05,0,0,150000,0,0,0,9000,143000,96000,0,0,398000,0,0,0,2e+06,0,0,10000,0,1230000,3240000,2,-88,-88,1,3,2,3,3,1,1,3,5,2,2,1,1,1,4,2,-98,-98,1,2,-88,-88,3,4,4,2,7,14,4,19,2,2,1,0,0,0,0,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,2,-88,-88,-88,3,2,2,4,4,4,3,4,4,4,4,4,2,-88,-88,2,-88,-88,2,-88,-88,2,-88,-88,2,-88,-88,2,-88,-88,4,35,87.5696594427245,77.0769230769231,1613,-88,-88,1613,5,5001
8269,665,1,2,5001,1,16,"BELEN",1016013,"ALTAVISTA",3,"MEDELLIN","MEDELLIN","MEDELLIN",2,-88,5001,1,16,1613,3,1,4,2,2,50,1966,2,1,-88,3,1,-88,-88,-88,-88,-88,-88,10,1613,2,12,-88,1,2,2,-88,-88,-88,2,-88,-88,-88,2,2,0,-88,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,1996,8,-88,2,2,2,4,2,2,2,2,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,2,-88,-88,2,-88,-88,0,0,0,0,0,2,2,2,2,-88,2,-88,2,-88,2,-88,2,-88,2,-88,2,-88,2,-88,4,10,4,1,0,0,1,1,0,3,0,5,1,1,2,2,1,1,2,1,1,1,1,2,2,1,1,2,1,1,2,-88,1,1,2,2,1,10,6,2,0,4,3,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,4,0,0,0,11,0,0,0,0,-88,-88,-88,1,6,4,1,1,0,-88,3,-88,6e+05,0,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,2,-88,7e+05,0,0,150000,0,0,0,9000,143000,96000,0,0,398000,0,0,0,2e+06,0,0,10000,0,1230000,3240000,2,-88,-88,1,3,2,3,3,1,1,3,5,2,2,1,1,1,4,2,-98,-98,1,2,-88,-88,3,4,4,2,7,14,4,19,2,2,1,0,0,0,0,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,2,-88,-88,-88,3,2,2,4,4,4,3,4,4,4,4,4,2,-88,-88,2,-88,-88,2,-88,-88,2,-88,-88,2,-88,-88,2,-88,-88,4,34,87.5696594427245,71.2835820895522,1613,-88,-88,1613,-88,-88
8269,665,1,3,5001,1,16,"BELEN",1016013,"ALTAVISTA",3,"MEDELLIN","MEDELLIN","MEDELLIN",2,-88,5001,1,16,1613,3,1,4,1,3,30,1986,1,-88,-88,3,1,-88,-88,-88,-88,-88,-88,10,1613,2,12,-88,1,2,2,-88,-88,-88,2,-88,-88,-88,4,4,0,-88,2,2,2,2,2,2,2,2,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,3,2,2,1,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,5,5001,4,3,6,4,-88,-88,-88,-88,240000,0,0,0,48,2,-88,2,-88,-88,-88,1,2,6,1,6,1,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,2,2,2,2,-88,2,-88,2,-88,2,-88,2,-88,2,-88,2,-88,2,-88,4,10,4,1,0,0,1,1,0,3,0,5,1,1,2,2,1,1,2,1,1,1,1,2,2,1,1,2,1,1,2,-88,1,1,2,2,1,10,6,2,0,4,3,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,4,0,0,0,11,0,0,0,0,-88,-88,-88,1,6,4,1,1,0,-88,3,-88,6e+05,0,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,2,-88,7e+05,0,0,150000,0,0,0,9000,143000,96000,0,0,398000,0,0,0,2e+06,0,0,10000,0,1230000,3240000,2,-88,-88,1,3,2,3,3,1,1,3,5,2,2,1,1,1,4,2,-98,-98,1,2,-88,-88,3,4,4,2,7,14,4,19,2,2,1,0,0,0,0,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,2,-88,-88,-88,3,2,2,4,4,4,3,4,4,4,4,4,2,-88,-88,2,-88,-88,2,-88,-88,2,-88,-88,2,-88,-88,2,-88,-88,4,30,87.5696594427245,83.4044943820225,1613,-88,-88,1613,5,5001
8269,665,1,4,5001,1,16,"BELEN",1016013,"ALTAVISTA",3,"MEDELLIN","MEDELLIN","MEDELLIN",2,-88,5001,1,16,1613,3,1,4,1,3,20,1996,1,-88,-88,3,1,-88,-88,-88,-88,-88,-88,10,1613,2,12,-88,1,2,2,-88,-88,-88,2,-88,-88,-88,3,3,9,-88,2,2,2,2,2,2,2,2,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,3,2,2,2,2,2,2,2,1,-98,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,2,-88,-88,2,-88,-88,0,0,0,0,0,2,2,2,2,-88,2,-88,2,-88,2,-88,2,-88,2,-88,2,-88,2,-88,4,10,4,1,0,0,1,1,0,3,0,5,1,1,2,2,1,1,2,1,1,1,1,2,2,1,1,2,1,1,2,-88,1,1,2,2,1,10,6,2,0,4,3,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,4,0,0,0,11,0,0,0,0,-88,-88,-88,1,6,4,1,1,0,-88,3,-88,6e+05,0,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,2,-88,7e+05,0,0,150000,0,0,0,9000,143000,96000,0,0,398000,0,0,0,2e+06,0,0,10000,0,1230000,3240000,2,-88,-88,1,3,2,3,3,1,1,3,5,2,2,1,1,1,4,2,-98,-98,1,2,-88,-88,3,4,4,2,7,14,4,19,2,2,1,0,0,0,0,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,2,-88,-88,-88,3,2,2,4,4,4,3,4,4,4,4,4,2,-88,-88,2,-88,-88,2,-88,-88,2,-88,-88,2,-88,-88,2,-88,-88,4,20,87.5696594427245,55.64,1613,-88,-88,1613,-88,-88
8270,666,1,1,5001,1,16,"BELEN",1016013,"ALTAVISTA",3,"MEDELLIN","MEDELLIN","MEDELLIN",2,-88,5001,1,16,1613,3,1,2,1,1,64,1952,2,2,-88,4,1,-88,-88,-88,-88,-88,-88,17,1612,1,12,-88,1,2,2,-88,-88,-88,2,-88,-88,-88,5,5,0,10,1,2,2,2,2,2,2,2,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,2,2,6,2,1,-88,-88,-88,-88,-88,-88,-88,-88,-88,480,5,5001,9,3,4,1,-88,0,0,0,-88,0,1e+06,0,72,2,-88,2,-88,-88,-88,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,2,2,2,2,-88,2,-88,2,-88,2,-88,2,-88,1,4,1,4,2,-88,4,10,4,1,1,1,0,1,1,2,1,7,1,1,2,2,1,1,2,1,1,1,1,2,2,1,1,2,1,1,2,-88,1,2,2,2,1,10,6,2,0,4,1,1,1,0,2,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,12,1,0,0,0,0,0,1,1,6,4,0,-88,0,-88,3,-88,650000,0,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,2,-88,1487000,0,0,5e+05,0,50000,53000,0,2e+05,184000,0,5e+05,1487000,0,0,0,1500000,5e+05,6e+06,224000,712000,2e+06,10936000,2,-88,-88,-98,3,3,2,1,3,2,4,4,2,2,2,1,1,4,2,2,-98,1,2,-88,-88,3,4,4,3,1,14,19,-88,-88,2,1,0,0,0,0,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,2,-88,-88,-88,1,1,2,2,3,2,4,4,1,4,4,4,2,-88,-88,1,1,3,2,-88,-88,2,-88,-88,2,-88,-88,2,-88,-88,3,36,87.5696594427245,75.5068493150685,1613,-88,-88,1612,5,5001
8270,666,1,2,5001,1,16,"BELEN",1016013,"ALTAVISTA",3,"MEDELLIN","MEDELLIN","MEDELLIN",2,-88,5001,1,16,1613,3,1,2,2,2,64,1952,2,1,-88,4,1,-88,-88,-88,-88,-88,-88,17,1612,1,12,-88,1,2,2,-88,-88,-88,2,-88,-88,-88,6,6,0,6,2,2,2,2,2,2,2,2,2,0,-88,-88,-88,-88,-88,-88,-88,-88,1,2,2,6,2,2,2,2,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,4,2,-88,-88,0,0,1300000,0,0,0,2,2,1,2,-88,1,2,1,2,2,-88,2,-88,1,4,1,4,2,-88,4,10,4,1,1,1,0,1,1,2,1,7,1,1,2,2,1,1,2,1,1,1,1,2,2,1,1,2,1,1,2,-88,1,2,2,2,1,10,6,2,0,4,1,1,1,0,2,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,12,1,0,0,0,0,0,1,1,6,4,0,-88,0,-88,3,-88,650000,0,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,2,-88,1487000,0,0,5e+05,0,50000,53000,0,2e+05,184000,0,5e+05,1487000,0,0,0,1500000,5e+05,6e+06,224000,712000,2e+06,10936000,2,-88,-88,-98,3,3,2,1,3,2,4,4,2,2,2,1,1,4,2,2,-98,1,2,-88,-88,3,4,4,3,1,14,19,-88,-88,2,1,0,0,0,0,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,2,-88,-88,-88,1,1,2,2,3,2,4,4,1,4,4,4,2,-88,-88,1,1,3,2,-88,-88,2,-88,-88,2,-88,-88,2,-88,-88,3,36,87.5696594427245,64.0169491525424,1613,-88,-88,1612,-88,-88
8271,681,1,1,5001,1,16,"BELEN",1016013,"ALTAVISTA",2,"MEDELLIN","MEDELLIN","MEDELLIN",1,5,5001,1,16,1613,2,1,4,1,1,47,1969,6,2,-88,4,1,-88,-88,-88,-88,-88,-88,47,-88,2,12,-88,1,2,2,-88,-88,-88,2,-88,-88,-88,0,2,3,-88,1,2,2,2,2,2,2,2,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,1,1,1,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,3,5,5001,6,1,7,1,-88,5e+05,0,0,-88,0,0,55000,72,2,-88,2,-88,-88,-88,1,7,3,2,-88,1,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,2,2,2,2,-88,2,-88,2,-88,2,-88,2,-88,2,-88,2,-88,2,-88,4,10,4,1,0,0,1,1,0,1,0,3,1,1,2,2,1,1,2,1,1,2,-88,-88,-88,1,1,2,1,1,2,-88,2,-88,-88,-88,1,10,6,1,0,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,7,0,0,0,0,-88,-88,-88,1,6,4,0,-88,1,1,1,280000,-88,0,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,2,-88,1359700,0,80000,9e+05,0,0,2700,1e+05,77000,2e+05,0,0,1359700,0,2e+05,3e+05,6e+05,0,0,0,0,0,1100000,2,-88,-88,-98,3,2,-98,1,2,1,3,3,2,2,1,2,1,4,1,2,1,5,2,-88,-88,3,4,3,2,1,2,19,-88,-88,11,-88,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9,2,1,1,-88,-88,3,2,3,4,4,4,4,4,1,4,4,4,2,-88,-88,2,-88,-88,1,1,3,2,-88,-88,1,2,3,2,-88,-88,3,33,87.7571428571429,90.6231884057971,1613,-88,-88,-88,5,5001
8271,681,1,2,5001,1,16,"BELEN",1016013,"ALTAVISTA",2,"MEDELLIN","MEDELLIN","MEDELLIN",1,5,5001,1,16,1613,2,1,4,2,2,38,1977,6,1,-88,4,2,12,0,3,-88,5,5861,7,1695,2,12,-88,1,2,2,-88,-88,-88,2,-88,-88,-88,4,4,0,-88,1,2,2,2,2,2,2,2,2,3,1,2,3,1,2,2012,6,-88,2,2,2,4,2,2,2,1,-88,-88,-88,-88,-88,-88,1,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,32,40,1,1,2,3,0,0,0,55000,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,2,2,2,2,-88,2,-88,2,-88,2,-88,2,-88,2,-88,2,-88,2,-88,4,10,4,1,0,0,1,1,0,1,0,3,1,1,2,2,1,1,2,1,1,2,-88,-88,-88,1,1,2,1,1,2,-88,2,-88,-88,-88,1,10,6,1,0,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,7,0,0,0,0,-88,-88,-88,1,6,4,0,-88,1,1,1,280000,-88,0,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,2,-88,1359700,0,80000,9e+05,0,0,2700,1e+05,77000,2e+05,0,0,1359700,0,2e+05,3e+05,6e+05,0,0,0,0,0,1100000,2,-88,-88,-98,3,2,-98,1,2,1,3,3,2,2,1,2,1,4,1,2,1,5,2,-88,-88,3,4,3,2,1,2,19,-88,-88,11,-88,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9,2,1,1,-88,-88,3,2,3,4,4,4,4,4,1,4,4,4,2,-88,-88,2,-88,-88,1,1,3,2,-88,-88,1,2,3,2,-88,-88,3,31,87.7571428571429,64.7787610619469,1613,5,5861,1695,-88,-88
