"skPersona","medicion","factorExpPersonas","factorExpHogares","factorExpViviendas","skVivienda","skHogar","skBarrio","codigoComuna","Edad","Sexo","anios_en_barrio","vida_en_barrio","vive_arriendo","valor_arriendo","vivia_en_otro_pais","vivia_en_otro_municipio","vivia_en_otro_barrio","Estrato","posee_gas","posee_aseo","total_cuartos","cuartos_dormir","posee_sanitario","cantidad_personas_hogar","personas_cuarto","hacinamiento","posee_energia","posee_acueducto","posee_alcantarillado","paredes_material","pisos_material","servicios","material_vivienda","barrio_anterior","codigoBarrioComuna","Cod_comuna","cod_barrio","nombreBarrio","zona","Sector","nombreComuna","migrante_en_arriendo","tipo_persona"
"2024_8429",2024,"122.9375","145.182835820896","144.464419475655","2024_2680","2024_2680_1",NA,7,62,0,55,0.887096774193548,0,"-88",0,1,0,2,0,1,1,1,6,NA,NA,NA,1,1,1,NA,NA,10,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Migrante Interregional"
"2024_8430",2024,"129.916666666667","145.182835820896","144.464419475655","2024_2681","2024_2681_1",NA,7,59,0,0,0,0,"-88",0,0,0,2,0,1,3,2,6,NA,NA,NA,1,0,1,NA,NA,9,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Persona local"
"2024_8431",2024,"87.6923076923077","145.182835820896","144.464419475655","2024_2681","2024_2681_1",NA,7,61,1,54,0.885245901639344,0,"-88",0,1,0,2,0,1,3,2,6,NA,NA,NA,1,0,1,NA,NA,9,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Migrante Interregional"
"2024_8432",2024,"101.066666666667","145.182835820896","144.464419475655","2024_2681","2024_2681_1",NA,7,18,1,18,1,0,"-88",0,0,0,2,0,1,3,2,6,NA,NA,NA,1,0,1,NA,NA,9,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Persona local"
"2024_8433",2024,"120.122448979592","145.182835820896","144.464419475655","2024_2682","2024_2682_1",NA,7,47,0,47,1,0,"-88",0,0,0,2,1,1,3,2,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Persona local"
"2024_8434",2024,"144.244897959184","145.182835820896","144.464419475655","2024_2682","2024_2682_1",NA,7,48,1,48,1,0,"-88",0,0,0,2,1,1,3,2,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Persona local"
"2024_8435",2024,"127.866666666667","145.182835820896","144.464419475655","2024_2682","2024_2682_1",NA,7,24,0,24,1,0,"-88",0,0,0,2,1,1,3,2,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Persona local"
"2024_8436",2024,"140.2","145.182835820896","144.464419475655","2024_2682","2024_2682_1",NA,7,16,1,16,1,0,"-88",0,0,0,2,1,1,3,2,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Persona local"
"2024_8437",2024,"227.333333333333","145.182835820896","144.464419475655","2024_2682","2024_2682_1",NA,7,15,1,15,1,0,"-88",0,0,0,2,1,1,3,2,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Persona local"
"2024_8438",2024,"120.122448979592","145.182835820896","144.464419475655","2024_2683","2024_2683_1",NA,7,49,0,12,0.244897959183673,0,"-88",0,1,0,2,1,1,3,3,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Migrante Interregional"
"2024_8439",2024,"144.244897959184","145.182835820896","144.464419475655","2024_2683","2024_2683_1",NA,7,46,1,12,0.260869565217391,0,"-88",0,1,0,2,1,1,3,3,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Migrante Interregional"
"2024_8440",2024,"222.875","145.182835820896","144.464419475655","2024_2683","2024_2683_1",NA,7,22,0,12,0.545454545454545,0,"-88",0,1,0,2,1,1,3,3,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Migrante Interregional"
"2024_8441",2024,"182.875","145.182835820896","144.464419475655","2024_2683","2024_2683_1",NA,7,16,0,12,0.75,0,"-88",0,1,0,2,1,1,3,3,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Migrante Interregional"
"2024_8442",2024,"57.2894736842105","145.182835820896","144.464419475655","2024_2684","2024_2684_1",NA,7,85,1,85,1,0,"-88",0,0,0,2,1,1,3,2,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Persona local"
"2024_8443",2024,"89.4705882352941","145.182835820896","144.464419475655","2024_2685","2024_2685_1",NA,7,65,1,6,0.0923076923076923,0,"-88",0,0,1,2,1,1,3,2,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_307",NA,NA,NA,NA,NA,NA,NA,0,"Nuevo en el barrio"
