"","codigoComuna","descripcionSexo","key","FEP_barrio"
"1",1,"Hombre","101_0_1_2005",33.0686274509804
"2",1,"Hombre","101_0_1_2006",18.8522727272727
"3",1,"Hombre","101_0_1_2007",27.3529411764706
"4",1,"Hombre","101_0_1_2008",23.5777777777778
"5",1,"Hombre","101_0_1_2009",22.6521739130435
"6",1,"Hombre","101_0_1_2010",35.3333333333333
"7",1,"Hombre","101_0_1_2011",40.7027027027027
"8",1,"Hombre","101_0_1_2012",52.0877192982456
"9",1,"Hombre","101_0_1_2013",40.625
"10",1,"Hombre","101_0_1_2014",45.968253968254
"11",1,"Hombre","101_0_1_2015",69.8536585365854
"12",1,"Hombre","101_0_1_2016",61.6739130434783
"13",1,"Hombre","101_0_1_2017",70.15
"14",1,"Hombre","101_0_1_2018",83.0285714285714
"15",1,"Hombre","101_0_1_2019",82.7714285714286
"16",1,"Hombre","101_0_2_2005",23.433734939759
"17",1,"Hombre","101_0_2_2006",21.1397849462366
"18",1,"Hombre","101_0_2_2007",22.5795454545455
"19",1,"Hombre","101_0_2_2008",29.8208955223881
"20",1,"Hombre","101_0_2_2009",20.8645833333333
"21",1,"Hombre","101_0_2_2010",32.0806451612903
"22",1,"Hombre","101_0_2_2011",36.9245283018868
"23",1,"Hombre","101_0_2_2012",43.7272727272727
"24",1,"Hombre","101_0_2_2013",37.0196078431373
"25",1,"Hombre","101_0_2_2014",36.2745098039216
"26",1,"Hombre","101_0_2_2015",45.2
"27",1,"Hombre","101_0_2_2016",35.42
"28",1,"Hombre","101_0_2_2017",42.3170731707317
"29",1,"Hombre","101_0_2_2018",90.8461538461538
"30",1,"Hombre","101_0_2_2019",74.34375
"31",1,"Hombre","101_0_3_2005",30.7045454545455
"32",1,"Hombre","101_0_3_2006",18.5616438356164
"33",1,"Hombre","101_0_3_2007",21.265625
"34",1,"Hombre","101_0_3_2008",22.9
"35",1,"Hombre","101_0_3_2009",24.4561403508772
"36",1,"Hombre","101_0_3_2010",31.4222222222222
"37",1,"Hombre","101_0_3_2011",36.075
"38",1,"Hombre","101_0_3_2012",39.7297297297297
"39",1,"Hombre","101_0_3_2013",50
"40",1,"Hombre","101_0_3_2014",43.6
"41",1,"Hombre","101_0_3_2015",49.9032258064516
"42",1,"Hombre","101_0_3_2016",82.8947368421053
"43",1,"Hombre","101_0_3_2017",72.7272727272727
"44",1,"Hombre","101_0_3_2018",80.96
"45",1,"Hombre","101_0_3_2019",82.0769230769231
"46",1,"Hombre","101_0_4_2005",34.0697674418605
"47",1,"Hombre","101_0_4_2006",23.047619047619
"48",1,"Hombre","101_0_4_2007",27.4807692307692
"49",1,"Hombre","101_0_4_2008",27.9
"50",1,"Hombre","101_0_4_2009",33.1707317073171
"51",1,"Hombre","101_0_4_2010",49.1851851851852
"52",1,"Hombre","101_0_4_2011",34.1578947368421
"53",1,"Hombre","101_0_4_2012",48.8461538461538
"54",1,"Hombre","101_0_4_2013",46.2962962962963
"55",1,"Hombre","101_0_4_2014",58.7142857142857
"56",1,"Hombre","101_0_4_2015",48.84
"57",1,"Hombre","101_0_4_2016",101.416666666667
"58",1,"Hombre","101_0_4_2017",136.111111111111
"59",1,"Hombre","101_0_4_2018",62.3333333333333
"60",1,"Hombre","101_0_4_2019",72.3157894736842
"61",1,"Hombre","101_0_5_2005",40.4
"62",1,"Hombre","101_0_5_2006",29
"63",1,"Hombre","101_0_5_2007",28.6315789473684
"64",1,"Hombre","101_0_5_2008",41.6666666666667
"65",1,"Hombre","101_0_5_2009",29.225
"66",1,"Hombre","101_0_5_2010",50.1666666666667
"67",1,"Hombre","101_0_5_2011",72.6470588235294
"68",1,"Hombre","101_0_5_2012",46.7777777777778
"69",1,"Hombre","101_0_5_2013",49.4615384615385
"70",1,"Hombre","101_0_5_2014",46.4285714285714
"71",1,"Hombre","101_0_5_2015",59.2727272727273
"72",1,"Hombre","101_0_5_2016",72
"73",1,"Hombre","101_0_5_2017",70.6111111111111
"74",1,"Hombre","101_0_5_2018",74
"75",1,"Hombre","101_0_5_2019",53.4285714285714
"76",1,"Hombre","101_0_6_2005",37.4
"77",1,"Hombre","101_0_6_2006",22.88
"78",1,"Hombre","101_0_6_2007",33.4444444444444
"79",1,"Hombre","101_0_6_2008",22.1071428571429
"80",1,"Hombre","101_0_6_2009",39.875
"81",1,"Hombre","101_0_6_2010",41.25
"82",1,"Hombre","101_0_6_2011",40.6470588235294
"83",1,"Hombre","101_0_6_2012",47.4
"84",1,"Hombre","101_0_6_2013",49.6666666666667
"85",1,"Hombre","101_0_6_2014",86.4444444444444
"86",1,"Hombre","101_0_6_2015",50.75
"87",1,"Hombre","101_0_6_2016",168.8
"88",1,"Hombre","101_0_6_2017",58.5333333333333
"89",1,"Hombre","101_0_6_2018",142.5
"90",1,"Hombre","101_0_6_2019",90.5
"91",1,"Hombre","101_0_7_2005",28.5263157894737
"92",1,"Hombre","101_0_7_2006",17.9
"93",1,"Hombre","101_0_7_2007",17.5806451612903
"94",1,"Hombre","101_0_7_2008",32.4705882352941
"95",1,"Hombre","101_0_7_2009",21.5
"96",1,"Hombre","101_0_7_2010",43.5384615384615
"97",1,"Hombre","101_0_7_2011",40.8571428571429
"98",1,"Hombre","101_0_7_2012",58.1
"99",1,"Hombre","101_0_7_2013",99.1666666666667
"100",1,"Hombre","101_0_7_2014",51.5833333333333
"101",1,"Hombre","101_0_7_2015",45.5
"102",1,"Hombre","101_0_7_2016",64.1
"103",1,"Hombre","101_0_7_2017",94
"104",1,"Hombre","101_0_7_2018",60.9
"105",1,"Hombre","101_0_7_2019",58.5454545454545
"106",1,"Mujer","101_1_1_2005",31.9306930693069
"107",1,"Mujer","101_1_1_2006",16.9839572192513
"108",1,"Mujer","101_1_1_2007",20.9664429530201
"109",1,"Mujer","101_1_1_2008",25.9576271186441
"110",1,"Mujer","101_1_1_2009",21.5142857142857
"111",1,"Mujer","101_1_1_2010",40.0675675675676
"112",1,"Mujer","101_1_1_2011",42.1449275362319
"113",1,"Mujer","101_1_1_2012",46.9180327868852
"114",1,"Mujer","101_1_1_2013",39.2777777777778
"115",1,"Mujer","101_1_1_2014",43.0153846153846
"116",1,"Mujer","101_1_1_2015",62.7272727272727
"117",1,"Mujer","101_1_1_2016",85.46875
"118",1,"Mujer","101_1_1_2017",96.6785714285714
"119",1,"Mujer","101_1_1_2018",74.972972972973
"120",1,"Mujer","101_1_1_2019",86.3125
"121",1,"Mujer","101_1_2_2005",21.125
"122",1,"Mujer","101_1_2_2006",17.8859649122807
"123",1,"Mujer","101_1_2_2007",22.5054945054945
"124",1,"Mujer","101_1_2_2008",22.6666666666667
"125",1,"Mujer","101_1_2_2009",16.9333333333333
"126",1,"Mujer","101_1_2_2010",29.1304347826087
"127",1,"Mujer","101_1_2_2011",35.3214285714286
"128",1,"Mujer","101_1_2_2012",33.448275862069
"129",1,"Mujer","101_1_2_2013",32.2203389830508
"130",1,"Mujer","101_1_2_2014",33.3392857142857
"131",1,"Mujer","101_1_2_2015",45.75
"132",1,"Mujer","101_1_2_2016",48.5945945945946
"133",1,"Mujer","101_1_2_2017",47.5675675675676
"134",1,"Mujer","101_1_2_2018",103.826086956522
"135",1,"Mujer","101_1_2_2019",66.5555555555556
"136",1,"Mujer","101_1_3_2005",36.5116279069767
"137",1,"Mujer","101_1_3_2006",18.6470588235294
"138",1,"Mujer","101_1_3_2007",20.05
"139",1,"Mujer","101_1_3_2008",27.1666666666667
"140",1,"Mujer","101_1_3_2009",26.6612903225806
"141",1,"Mujer","101_1_3_2010",46.5555555555556
"142",1,"Mujer","101_1_3_2011",48.6571428571429
"143",1,"Mujer","101_1_3_2012",39.25
"144",1,"Mujer","101_1_3_2013",42.6585365853659
"145",1,"Mujer","101_1_3_2014",45.2564102564103
"146",1,"Mujer","101_1_3_2015",55.4375
"147",1,"Mujer","101_1_3_2016",85.1428571428571
"148",1,"Mujer","101_1_3_2017",64.0714285714286
"149",1,"Mujer","101_1_3_2018",98.6
"150",1,"Mujer","101_1_3_2019",82.2
"151",1,"Mujer","101_1_4_2005",29.8813559322034
"152",1,"Mujer","101_1_4_2006",20.183908045977
"153",1,"Mujer","101_1_4_2007",23.0933333333333
"154",1,"Mujer","101_1_4_2008",23.9295774647887
"155",1,"Mujer","101_1_4_2009",25.2424242424242
"156",1,"Mujer","101_1_4_2010",41.8205128205128
"157",1,"Mujer","101_1_4_2011",44.3611111111111
"158",1,"Mujer","101_1_4_2012",60.3461538461538
"159",1,"Mujer","101_1_4_2013",31.469387755102
"160",1,"Mujer","101_1_4_2014",41.3513513513514
"161",1,"Mujer","101_1_4_2015",66.2608695652174
"162",1,"Mujer","101_1_4_2016",69.2272727272727
"163",1,"Mujer","101_1_4_2017",90.1764705882353
"164",1,"Mujer","101_1_4_2018",73
"165",1,"Mujer","101_1_4_2019",71.9090909090909
"166",1,"Mujer","101_1_5_2005",28.2727272727273
"167",1,"Mujer","101_1_5_2006",26.3877551020408
"168",1,"Mujer","101_1_5_2007",22.5166666666667
"169",1,"Mujer","101_1_5_2008",22.9344262295082
"170",1,"Mujer","101_1_5_2009",24.3898305084746
"171",1,"Mujer","101_1_5_2010",54.8148148148148
"172",1,"Mujer","101_1_5_2011",72.0952380952381
"173",1,"Mujer","101_1_5_2012",51.4333333333333
"174",1,"Mujer","101_1_5_2013",52.2333333333333
"175",1,"Mujer","101_1_5_2014",47.7878787878788
"176",1,"Mujer","101_1_5_2015",47.7272727272727
"177",1,"Mujer","101_1_5_2016",60.1538461538462
"178",1,"Mujer","101_1_5_2017",73.1428571428571
"179",1,"Mujer","101_1_5_2018",83.3529411764706
"180",1,"Mujer","101_1_5_2019",75.3157894736842
"181",1,"Mujer","101_1_6_2005",31.1363636363636
"182",1,"Mujer","101_1_6_2006",21.78125
"183",1,"Mujer","101_1_6_2007",22.53125
"184",1,"Mujer","101_1_6_2008",31.0416666666667
"185",1,"Mujer","101_1_6_2009",35.2727272727273
"186",1,"Mujer","101_1_6_2010",44.3888888888889
"187",1,"Mujer","101_1_6_2011",41.65
"188",1,"Mujer","101_1_6_2012",37.7391304347826
"189",1,"Mujer","101_1_6_2013",63.7857142857143
"190",1,"Mujer","101_1_6_2014",49.1052631578947
"191",1,"Mujer","101_1_6_2015",46.3333333333333
"192",1,"Mujer","101_1_6_2016",59.4117647058824
"193",1,"Mujer","101_1_6_2017",62.3529411764706
"194",1,"Mujer","101_1_6_2018",73.7857142857143
"195",1,"Mujer","101_1_6_2019",64.2941176470588
"196",1,"Mujer","101_1_7_2005",34.1818181818182
"197",1,"Mujer","101_1_7_2006",23.125
"198",1,"Mujer","101_1_7_2007",25.1666666666667
"199",1,"Mujer","101_1_7_2008",20.1842105263158
"200",1,"Mujer","101_1_7_2009",18.7317073170732
"201",1,"Mujer","101_1_7_2010",27
"202",1,"Mujer","101_1_7_2011",44.1111111111111
"203",1,"Mujer","101_1_7_2012",33.625
"204",1,"Mujer","101_1_7_2013",46.4444444444444
"205",1,"Mujer","101_1_7_2014",38.9090909090909
"206",1,"Mujer","101_1_7_2015",34.68
"207",1,"Mujer","101_1_7_2016",58.0666666666667
"208",1,"Mujer","101_1_7_2017",68.7692307692308
"209",1,"Mujer","101_1_7_2018",48.2222222222222
"210",1,"Mujer","101_1_7_2019",51.2222222222222
"211",1,"Hombre","102_0_1_2005",98.6428571428571
"212",1,"Hombre","102_0_1_2006",29.6521739130435
"213",1,"Hombre","102_0_1_2007",33.0731707317073
"214",1,"Hombre","102_0_1_2008",33.425
"215",1,"Hombre","102_0_1_2009",23.75
"216",1,"Hombre","102_0_1_2010",77.3529411764706
"217",1,"Hombre","102_0_1_2011",82
