Comuna;Nombre Comuna;Barrio;Nombre Barrio;codigoBarrioComuna;2014;2015;2016;2017;2018;2019
1;POPULAR;1;SANTO DOMINGO SAVIO # 1;101;4461;4400;4393;4426;4333;4337
1;POPULAR;2;SANTO DOMINGO SAVIO # 2;102;1545;1547;1558;1577;1555;1573
1;POPULAR;3;POPULAR;103;3966;3977;3981;4037;4017;4020
1;POPULAR;4;GRANIZAL;104;2186;2205;2211;2250;2228;2238
1;POPULAR;5;MOSCU # 2;105;2826;2831;2840;2888;2868;2857
1;POPULAR;6;VILLA GUADALUPE;106;2225;2248;2273;2333;2302;2315
1;POPULAR;7;SAN PABLO;107;2287;2304;2332;2400;2358;2369
1;POPULAR;8;EL COMPROMISO;108;951;953;956;965;960;966
1;POPULAR;9;ALDEA PABLO VI;109;265;265;265;272;266;267
1;POPULAR;10;LA ESPERANZA # 2;110;568;563;554;561;556;553
1;POPULAR;11;LA AVANZADA;111;1201;1209;1218;1247;1237;1250
1;POPULAR;12;CARPINELO;112;2078;2095;2092;2133;2097;2093
2;SANTA CRUZ;1;LA ISLA;201;2131;2145;2161;2209;2158;2162
2;SANTA CRUZ;2;PLAYON DE LOS COMUNEROS;202;1789;1772;1779;1819;1805;1804
2;SANTA CRUZ;3;PABLO VI;203;845;854;861;906;894;897
2;SANTA CRUZ;4;LA FRONTERA;204;1072;1083;1098;1123;1106;1074
2;SANTA CRUZ;5;LA FRANCIA;205;2304;2374;2389;2460;2420;2433
2;SANTA CRUZ;6;ANDALUCIA;206;2014;2105;2123;2184;2168;2191
2;SANTA CRUZ;7;VILLA DEL SOCORRO;207;2464;2559;2570;2633;2615;2621
2;SANTA CRUZ;8;VILLA NIZA;208;1088;1082;1100;1143;1142;1154
2;SANTA CRUZ;9;MOSCU # 1;209;1660;1683;1699;1721;1729;1740
2;SANTA CRUZ;10;SANTA CRUZ;210;2536;2559;2588;2656;2633;2679
2;SANTA CRUZ;11;LA ROSA;211;1421;1439;1448;1470;1488;1507
2;SANTA CRUZ;99;ILOCALIZADO SANTA CRUZ;299;1;1;1;1;1;1
3;MANRRIQUE;1;LA SALLE;301;3387;3415;3436;3551;3471;3487
3;MANRRIQUE;2;LAS GRANJAS;302;5547;5578;5629;5756;5718;5745
3;MANRRIQUE;3;CAMPO VALDES # 2;303;3810;3838;3863;3994;3950;3988
3;MANRRIQUE;4;SANTA INES;304;2581;2599;2627;2726;2665;2691
3;MANRRIQUE;5;EL RAIZAL;305;2230;2267;2273;2345;2304;2317
3;MANRRIQUE;6;EL POMAR;306;894;902;925;963;939;950
3;MANRRIQUE;7;MANRIQUE CENTRAL # 2;307;1325;1334;1340;1365;1378;1401
3;MANRRIQUE;8;MANRIQUE ORIENTAL;308;3128;3141;3162;3222;3182;3197
3;MANRRIQUE;9;VERSALLES # 1;309;3406;3427;3440;3517;3472;3449
3;MANRRIQUE;10;VERSALLES # 2;310;720;723;729;755;738;748
3;MANRRIQUE;11;LA CRUZ;311;1708;1715;1874;1917;1894;1910
3;MANRRIQUE;12;ORIENTE;312;1275;1305;1345;1410;1418;1430
3;MANRRIQUE;13;MARIA CANO CARAMBOLAS;313;865;896;902;920;925;934
3;MANRRIQUE;14;SAN JOSE DE LA CIMA # 1;314;385;390;387;396;385;390
3;MANRRIQUE;15;SAN JOSE DE LA CIMA # 2;315;513;505;507;522;511;516
4;ARANJUEZ;1;BERLIN;401;2329;2643;2658;2722;2686;2717
4;ARANJUEZ;2;SAN ISIDRO;402;3372;3407;3440;3575;3537;3606
4;ARANJUEZ;3;PALERMO;403;1137;1104;1087;1079;1061;1054
4;ARANJUEZ;4;BERMEJAL LOS ALAMOS;404;1500;1640;1665;1884;1892;1924
4;ARANJUEZ;5;MORAVIA;405;4366;4322;4306;4384;4302;4275
4;ARANJUEZ;7;SEVILLA;407;560;561;566;570;572;575
4;ARANJUEZ;8;SAN PEDRO;408;1192;1189;1198;1215;1211;1215
4;ARANJUEZ;9;MANRIQUE CENTRAL # 1;409;2379;2395;2418;2477;2490;2501
4;ARANJUEZ;10;CAMPO VALDES # 1;410;3178;3203;3219;3306;3283;3317
4;ARANJUEZ;11;LAS ESMERALDAS;411;1369;1407;1424;1462;1464;1489
4;ARANJUEZ;12;LA PINUELA;412;1854;1887;1893;1952;1933;1952
4;ARANJUEZ;13;ARANJUEZ;413;2274;2290;2297;2349;2342;2444
4;ARANJUEZ;14;BRASILIA;414;2631;2651;2661;2750;2737;2786
4;ARANJUEZ;15;MIRANDA;415;1356;1366;1381;1404;1396;1651
5;CASTILLA;1;TOSCANA;501;1494;1507;1514;1548;1523;1542
5;CASTILLA;2;LAS BRISAS;502;1893;1911;1929;2011;1994;2027
5;CASTILLA;3;FLORENCIA;503;2515;2523;2543;2662;2639;2704
5;CASTILLA;4;TEJELO;504;2679;2709;2718;2802;2786;2840
5;CASTILLA;5;BOYACA;505;1517;1548;1561;1596;1598;1620
5;CASTILLA;7;HECTOR ABAD GOMEZ;507;1075;1112;1128;1168;1175;1104
5;CASTILLA;8;BELALCAZAR;508;1167;1179;1183;1208;1196;1214
5;CASTILLA;9;GIRARDOT;509;2448;2481;2507;2563;2553;2582
5;CASTILLA;10;TRICENTENARIO;510;2117;2119;2119;2117;2119;2118
5;CASTILLA;11;CASTILLA;511;4874;4904;4920;5170;5090;5141
5;CASTILLA;12;OLEODUCTO;512;62;28;32;34;33;33
5;CASTILLA;13;FRANCISCO ANTONIO ZEA;513;2372;2379;2393;2436;2410;2419
5;CASTILLA;14;ALFONSO LOPEZ;514;2617;2628;2634;2720;2692;2713
5;CASTILLA;15;CEMENTERIO UNIVERSAL;515;6;5;5;6;4;4
5;CASTILLA;17;CARIBE;517;186;183;187;195;187;187
5;CASTILLA;19;PROGRESO;519;1129;1136;1147;1155;1155;1161
6;DOCE DE OCTUBRE;1;SANTANDER;601;2607;2631;2667;2726;2703;2729
6;DOCE DE OCTUBRE;2;DOCE DE OCTUBRE # 1;602;2933;2953;2980;3074;3025;3057
6;DOCE DE OCTUBRE;3;DOCE DE OCTUBRE # 2;603;3038;3074;3110;3247;3232;3275
6;DOCE DE OCTUBRE;4;PEDREGAL;604;4236;4268;4299;4571;4433;4481
6;DOCE DE OCTUBRE;5;LA ESPERANZA;605;4713;4741;4763;4877;4869;4910
6;DOCE DE OCTUBRE;6;SAN MARTIN DE PORRES;606;3094;3117;3138;3205;3187;3232
6;DOCE DE OCTUBRE;7;KENNEDY;607;5631;5676;5722;5912;5834;5878
6;DOCE DE OCTUBRE;8;PICACHO;608;4017;4061;5101;5171;5143;5161
6;DOCE DE OCTUBRE;9;PICACHITO;609;942;939;937;963;942;926
6;DOCE DE OCTUBRE;10;MIRADOR DEL DOCE;610;714;715;704;689;686;683
6;DOCE DE OCTUBRE;11;EL PROGRESO # 2;611;913;921;935;967;945;949
6;DOCE DE OCTUBRE;12;EL TRIUNFO;612;705;711;710;724;719;719
7;ROBLEDO;1;UNIVERSIDAD NACIONAL;701;12;11;11;11;10;10
7;ROBLEDO;2;CERRO  VOLADOR;702;441;443;443;447;440;439
7;ROBLEDO;3;SAN GERMAN;703;1565;1690;2219;2971;3846;4267
7;ROBLEDO;5;FACULTAD DE MINAS;705;184;184;184;184;184;184
7;ROBLEDO;6;LA PILARICA;706;2260;2259;2722;2877;2944;3071
7;ROBLEDO;7;BOSQUES DE SAN PABLO;707;801;802;802;810;811;815
