"sk_barrio_medicion","barrio","medicion","cantidad_observaciones","valor_comercial","valor_m2","sd_valor_comercial"
"2008_0101","01",2008,1,320000,2133.33333333333,NA
"2008_0103","03",2008,1,4e+05,25000,NA
"2008_0104","04",2008,2,205000,2388.10824876399,795.794126628108
"2008_0106","06",2008,1,250000,5208.33333333333,NA
"2008_0107","07",2008,1,2e+05,7407.40740740741,NA
"2008_0108","08",2008,1,170000,8947.36842105263,NA
"2008_0109","09",2008,1,110000,3142.85714285714,NA
"2008_0110","10",2008,1,130000,659.89847715736,NA
"2008_0201","01",2008,1,242200,7568.75,NA
"2008_0202","02",2008,5,2e+05,6443.60111905015,7331.67086002116
"2008_0203","03",2008,1,320000,2758.62068965517,NA
"2008_0205","05",2008,1,180000,3600,NA
"2008_0206","06",2008,4,240000,3547.00567502987,1686.18411435772
"2008_0209","09",2008,1,170000,10625,NA
"2008_0210","10",2008,1,320000,8648.64864864865,NA
"2008_0301","01",2008,5,240000,5927.19095867081,2675.28665188117
"2008_0302","02",2008,12,235833.333333333,7036.97244745625,4865.05216342896
"2008_0303","03",2008,9,292222.222222222,9503.04982546712,4462.64478697162
"2008_0304","04",2008,9,273333.333333333,7514.71276103544,4635.89326254499
"2008_0305","05",2008,1,280000,3255.81395348837,NA
"2008_0306","06",2008,4,365000,10748.1684981685,13865.7175118352
"2008_0307","07",2008,13,357692.307692308,8863.56553499851,5158.98519394352
"2008_0308","08",2008,12,271666.666666667,10345.866774815,4843.72155670046
"2008_0309","09",2008,5,212000,4790.66948416794,3013.46713261463
"2008_0311","11",2008,1,150000,5769.23076923077,NA
"2008_0314","14",2008,1,2e+05,5882.35294117647,NA
"2008_0401","01",2008,10,457000,8304.95096511966,3791.05189585002
"2008_0402","02",2008,11,334545.454545455,9520.613083681,6821.64256538757
"2008_0403","03",2008,2,290000,13989.7698209719,4810.49626075759
"2008_0404","04",2008,6,260000,5494.25044286913,1639.31498841218
"2008_0405","05",2008,1,350000,7291.66666666667,NA
"2008_0407","07",2008,10,528699.9,13498.4396662503,17166.7108456324
"2008_0408","08",2008,1,3e+05,3529.41176470588,NA
"2008_0409","09",2008,11,377272.727272727,11381.6795431215,6348.5141804163
"2008_0410","10",2008,20,327000,7480.75887617887,4069.31006754779
"2008_0411","11",2008,5,340000,8936.28803354067,6422.85656558136
"2008_0412","12",2008,1,250000,12500,NA
"2008_0413","13",2008,11,334545.454545455,8596.34930287104,3663.87250070609
"2008_0414","14",2008,7,306155.285714286,9129.55647616174,4272.79230636063
"2008_0415","15",2008,7,312857.142857143,11120.6080378513,10857.4589345093
"2008_0503","03",2008,2,325000,6916.66666666667,824.957911384306
"2008_0505","05",2008,3,142666.666666667,8294.58261037208,1395.29951813737
"2008_0509","09",2008,2,390000,8143.7908496732,425.188391301716
"2008_0510","10",2008,3,5e+05,14416.1774298761,12260.3689823057
"2008_0511","11",2008,2,425000,5086.20689655172,121.914962273543
"2008_0513","13",2008,1,277000,4616.66666666667,NA
"2008_0514","14",2008,1,3e+05,11538.4615384615,NA
"2008_0517","17",2008,4,380000,12837.1657754011,6365.16528465784
"2008_0519","19",2008,5,456000,7457.68321513002,2835.24300221161
"2008_0604","04",2008,5,416000,6714.97725483335,3185.23853830977
"2008_0605","05",2008,4,360000,8148.45738723144,4189.63932898135
"2008_0607","07",2008,4,180000,3761.67674731183,1865.63879401278
"2008_0608","08",2008,3,263333.333333333,8733.21123321123,4113.61114603795
"2008_0703","03",2008,14,589285.714285714,11596.331751744,6071.13315280957
"2008_0706","06",2008,11,632363.636363636,14063.4951727752,9898.00142700467
"2008_0707","07",2008,10,478900,11101.8242697432,4916.71671204275
"2008_0708","08",2008,15,570933.333333333,24999.5410534986,6172.87092951023
"2008_0709","09",2008,3,371666.666666667,8080.48433048433,2560.76914138427
"2008_0710","10",2008,9,447888.888888889,11712.8223391237,11936.6136865267
"2008_0711","11",2008,14,333928.571428571,7681.69979108652,6023.76316454279
"2008_0713","13",2008,10,454000,5695.36120680319,1624.56163487751
"2008_0714","14",2008,4,382500,8927.06012305667,4465.7403078926
"2008_0715","15",2008,12,380383.333333333,9717.85380745109,5493.09761377944
"2008_0716","16",2008,11,447090.909090909,12810.4915522778,5589.18752677083
"2008_0717","17",2008,13,478915.384615385,13713.9119607209,9721.47432251843
"2008_0718","18",2008,12,325750,6878.99563604929,1539.66536798564
"2008_0720","20",2008,1,360000,2571.42857142857,NA
"2008_0723","23",2008,3,256666.666666667,8025.73027573028,5754.49296232697
"2008_0724","24",2008,2,225000,4127.27272727273,1877.04709187702
"2008_0801","01",2008,11,343636.363636364,8485.6319067549,3726.19202521067
"2008_0802","02",2008,12,407500,15227.7627912836,11970.7617797525
"2008_0803","03",2008,27,429433.407407407,11004.1179606207,6687.18446141187
"2008_0804","04",2008,1,303000,25250,NA
"2008_0807","07",2008,4,207500,5886.70057420057,522.875474274363
"2008_0808","08",2008,11,387272.727272727,6398.57860808646,2832.87762902608
"2008_0809","09",2008,8,585000,16401.3567191236,7461.17148162045
"2008_0810","10",2008,4,262500,7258.00088856206,2446.95033884291
