"RECORD","I0A_DPTO","I0B_MPIO","I0C_CLASE","I0B1_LOCALIDAD","I0D_SECT_R","I0D_SEC_R","I0D_CPOB","I0D_SECT_U","I0D_SEC_U","I0D_MZA","SEC_AGAD","I0F_EDIFIC","I0G_UCENSAL","P0H_USO_UCENSAL","P0D1_TIP_AGRUP","P0E1_TIP_TERRI","P0A_NRO_HOGAR","PC08B1_NRO_PERS","P25B_SEXO","PC09B_EDADQ","P27B_PARENTESCO","P28B1_LUG_NAC","P29B1_RES_MAMA","P30B1_VIVIA_5ANOS","P32B1_CAMBIO_5ANOS","P32B2_ANO_ULT","P32B3_LUG_ULT","P32B8_CAUSA_ULT","P33B1_ETNIA","P34B_HABLA_LENG","P35B1_AYUNO","P35B2_DIAS_AYUNO","P39B_LIMITACION","P41B1_ALFABETA","P42B1_ASISTENCIA","P42B2_TIP_ESTAB","P44B1_TIP_ESTUD","P47B_OCUPACION","P53B_EST_CIVIL","P55B1_HNV","P55B2_THNV","P55B3_HNVH","P55B4_HNVM","P56B1_THSV","P56B2_HSVH","P56B3_HSVM","P56B4_NO_SABE","P57B1_ANO_UHNV","P57B2_MES_UHNV","NRO_UPZ_P","LLAVE_VIVPH_N","LLAVE_HOGPH_N","LLAVE_PERH_N"
4,5,1,1,8,0,0,0,9061,1,26,10010916,7,1,1,NA,NA,1,3,1,7,3,2,1,3,1,2001,1,7,6,NA,2,0,2,1,2,NA,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10010916000700012,1.00109160007e+18,1.00109160007e+22
4,5,1,1,8,0,0,0,9061,1,26,10010916,7,1,1,NA,NA,1,4,1,6,3,2,1,3,1,2001,1,7,6,NA,2,0,2,1,2,NA,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10010916000700012,1.00109160007e+18,1.00109160007e+22
4,5,1,1,8,0,0,0,9061,1,26,10010916,7,1,1,NA,NA,1,5,1,5,3,2,1,3,1,2001,1,7,6,NA,2,0,2,1,2,NA,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10010916000700012,1.00109160007e+18,1.00109160007e+22
4,5,1,1,8,0,0,0,9061,1,26,10010916,7,1,1,NA,NA,1,6,2,4,3,2,1,3,1,2001,1,7,6,NA,2,0,2,1,1,1,2,9,5,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,10010916000700012,1.00109160007e+18,1.00109160007e+22
4,5,1,1,8,0,0,0,9061,1,26,10010917,1,1,1,NA,NA,1,1,1,10,1,2,1,2,2,NA,NA,NA,6,NA,2,0,2,1,2,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10010917000100012,1.00109170001e+18,1.00109170001e+22
4,5,1,1,8,0,0,0,9061,1,26,10010917,1,1,1,NA,NA,1,2,2,9,2,2,1,2,2,NA,NA,NA,6,NA,2,0,2,1,2,NA,2,1,1,1,3,0,3,2,0,2,1,6,9,NA,10010917000100012,1.00109170001e+18,1.00109170001e+22
4,5,1,1,8,0,0,0,9061,1,26,10010917,2,1,1,NA,NA,1,1,1,7,1,1,1,2,2,NA,NA,NA,6,NA,2,0,2,1,2,NA,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10010917000200012,1.00109170002e+18,1.00109170002e+22
4,5,1,1,8,0,0,0,9061,1,26,10010917,2,1,1,NA,NA,1,2,2,6,2,1,1,2,2,NA,NA,NA,6,NA,2,0,2,1,2,NA,3,6,1,1,3,1,2,3,1,2,1,1,1,NA,10010917000200012,1.00109170002e+18,1.00109170002e+22
4,5,1,1,8,0,0,0,9061,1,26,10010917,2,1,1,NA,NA,1,3,2,1,3,1,1,1,2,NA,NA,NA,6,NA,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10010917000200012,1.00109170002e+18,1.00109170002e+22
4,5,1,1,8,0,0,0,9061,1,26,10010918,1,1,1,NA,NA,1,1,2,5,1,2,1,2,2,NA,NA,NA,6,NA,1,5,2,1,2,NA,2,9,5,1,1,0,1,1,0,1,1,1,10,NA,10010918000100012,1.00109180001e+18,1.00109180001e+22
